Model,acoustic,arousal,valence,hume,COMPOSITE
async_ai_angry_voice1,-0.635718822479248,-1.4126455349592208,0.11227780295923204,-0.9877191701207212,-0.8658557552069768
async_ai_angry_voice2,0.21261796355247498,-1.0336040168409573,-1.167169170965883,-0.9397620514683922,-0.5085325860285979
async_ai_angry_voice3,-0.976388692855835,-0.7553836370206229,-0.5124665390721765,-0.866272825992381,-0.8416563042227481
async_ai_angry_voice4,-0.5200395584106445,-0.990293818566678,-0.9633477906210998,-0.9909263944944743,-0.7901936255420117
cartesia_angry_barber,-0.11331018805503845,-0.9457389913280281,-0.26942480510897804,-0.5540004174461073,-0.46580930261629044
cartesia_angry_voice1,0.048078227788209915,-0.5662876776545865,-0.2760281319292807,-0.6791266564343434,-0.29728227910281935
cartesia_angry_voice2,0.06372912973165512,-0.34003893242239175,0.1011668403811434,-0.24398443588114851,-0.11096705093184414
cartesia_angry_voice3,0.35440462827682495,-0.6092039577683092,0.17047255734995212,-0.33525138308365376,-0.08268829770472502
deepgram_angry_voice1,-0.13816893100738525,-0.56808658646519,-0.6531360732012342,-0.5903945531712275,-0.3995953915392502
deepgram_angry_voice2,-0.9153835773468018,-0.8205900326693677,-0.8503708791791291,-1.054031491767282,-0.9007320419247182
deepgram_angry_voice3,-0.6393723487854004,0.08859134089923316,0.007525120354527206,0.10630978272184945,-0.22242508251535073
deepgram_angry_voice4,0.7217816710472107,-1.05080685636534,0.2702456753262906,-1.0532417808762498,-0.17460401198883702
dupdub_angry,-0.3050755560398102,0.16147271033401123,0.08760429925458525,-0.595984382901656,-0.16305753637655024
dupdub1_angry,-0.04153367877006531,0.5838168055771357,-0.2639712686279076,2.0289332427403926,0.46760942482593965
elevenlabs_angry_voice1,-0.2326868176460266,0.651715213483937,1.7731656789425079,0.3494176111864126,0.3440437929717913
elevenlabs_angry_voice2,-0.38738054037094116,0.7518637853457041,1.3313479132872765,0.19539504436474275,0.2422945911265668
elevenlabs_angry_voice3,-0.18739722669124603,0.8311418395255474,2.288275836882784,2.1475135658216646,0.759688312127945
elevenlabs_angry_voice4,-0.2589554488658905,1.1454278800023137,1.747198150360694,0.29623332647779543,0.4798927806476062
gemini_anger_3,0.670727550983429,1.873020920251602,2.3689344055131305,2.191744689914597,1.4686448437181796
google_gemini_angry_voice1,0.19459620118141174,1.1140001650887357,0.014560333595785253,2.026032241738503,0.7638316478722111
google_gemini_angry_voice2,1.1703283786773682,1.3449308364468857,0.5512231357485066,1.8736216292736037,1.276817540700546
google_gemini_angry_voice3,0.6953232884407043,1.0168279696226943,-0.2424529465151411,0.12928582162319915,0.6138611455827907
google_gemini_angry_voice4,0.016244560480117798,0.8632837196491953,-1.6881136772550918,-1.0545928051795581,-0.05447271121874914
hume_angry_voice1,-0.9618513584136963,-0.3296976677575885,-0.5394543329265786,-0.5787590803990674,-0.6560276829545528
hume_angry_voice2,0.027066677808761597,1.4527129420947245,1.17239164616876,1.5676375958299735,0.8442973260251576
hume_angry_voice3,1.9934937953948975,0.6330284726582391,-0.7521737176130319,-0.47181525218334414,0.889128638369582
hume_angry_voice4,0.41775062680244446,0.9750837587799226,0.3839637806827485,0.06918643904980544,0.5369482684223812
hume_angry_voice5,1.3029590845108032,0.9196262422026571,-0.10692110383082612,0.0593800225443308,0.8403319109917695
hume_angry_voice6,0.06200084090232849,1.9170114648854077,0.7782178580244854,0.2750235781031472,0.7613095799432373
lmnt_angry_voice1,0.09214693307876587,-0.090706678245944,-1.2905264745784981,-0.20195971099063428,-0.1516906288951691
lmnt_angry_voice2,1.1396759748458862,-0.6485722752799361,-1.0027838831517806,-0.018191032140338258,0.1679318100066671
lmnt_angry_voice3,-0.29154524207115173,-0.03006709761214945,0.2291527242932692,0.11082315301998873,-0.09142349003278197
lmnt_angry_voice4,-0.03022480010986328,-1.0565900385822349,-0.5978235579906648,-0.853488638154936,-0.5471437658865321
murf_ai_angry_voice1,0.26234200596809387,-0.14214118057404196,-1.5470706859938173,-0.6983204735288823,-0.2017398808331898
murf_ai_angry_voice2,0.630853533744812,-0.3339347092862524,-1.9233054567060908,-0.9987327152448624,-0.19402841602158866
noiz_anger_yilin,-0.6494029760360718,0.8580565637919415,0.04477889938064536,1.6731609528162585,0.2740124976353086
rime_anger_0,-0.28865495324134827,-2.020982035241739,0.45707271317308296,-0.09228442993216657,-0.7370075688125378
rime_anger_1,-0.466657817363739,-0.6750786329566681,-0.03163190081805279,-0.16307063451435874,-0.44127593863509973
rime_anger_2,-0.8021238446235657,-1.4814306953556267,0.05950594031772654,-0.8763923671351144,-0.9452220160050793
rime_anger_3,-1.2342475652694702,-1.279731577687024,0.7290910840881294,-0.20139601418536335,-0.8872123385180561
