Model,acoustic,arousal,valence,hume,COMPOSITE
async_ai_angry_voice1,-0.6329828500747681,-1.4180792115655159,0.05335520907272259,-1.0224796585898464,-0.8778993513180773
async_ai_angry_voice2,0.23930791020393372,-1.029235604454827,-1.2939298525364367,-0.9730958934091469,-0.5139344058955106
async_ai_angry_voice3,-0.9643881320953369,-0.7438203903164894,-0.6045139613560823,-0.8974204826212522,-0.8471042041995835
async_ai_angry_voice4,-0.49693217873573303,-0.9848053958453431,-1.0793015744041712,-1.0257822926889353,-0.7959045558773747
cartesia_angry_barber,-0.10415041446685791,-0.939098371919102,-0.34858581099932506,-0.5758584761992568,-0.47125059082904136
cartesia_angry_voice1,0.07864298671483994,-0.5498343718587319,-0.355539255544685,-0.7047070179337183,-0.29122399568063384
cartesia_angry_voice2,0.0944812223315239,-0.31773478910826125,0.041655127547942365,-0.2566200218029885,-0.09888671061414556
cartesia_angry_voice3,0.38699638843536377,-0.5938604755057364,0.11463553162809892,-0.3506020127162171,-0.07212963729472127
deepgram_angry_voice1,-0.1119217798113823,-0.5516798008087077,-0.7526419930901209,-0.613335278457404,-0.3969425273437405
deepgram_angry_voice2,-0.9028910398483276,-0.810713036316376,-0.9603344673692088,-1.0907646642950783,-0.9091981918449281
deepgram_angry_voice3,-0.6240990161895752,0.12197994827103271,-0.05695160888303647,0.10409488188122049,-0.21212798433229238
deepgram_angry_voice4,0.7634339332580566,-1.0468833128283468,0.21969876139783598,-1.0899514607853742,-0.16678278479604977
dupdub_angry,-0.2771875858306885,0.19674604440444815,0.0273734813135427,-0.6190913965596782,-0.1497773200051026
dupdub1_angry,-0.001644819974899292,0.630012041890764,-0.34284312030277664,2.0839132727396246,0.500054840660902
elevenlabs_angry_voice1,-0.20281575620174408,0.6996663161207336,1.8023057087211776,1.9318760728040627,0.6280413490549024
elevenlabs_angry_voice2,-0.3637452721595764,0.8024047499552123,1.3370621404045517,0.1958302856265445,0.2690355719758591
elevenlabs_angry_voice3,-0.16895979642868042,0.8837329503725311,2.344727735596586,2.2063578435841236,0.7993214581522825
elevenlabs_angry_voice4,-0.2378304898738861,1.2061464903198673,1.7749613450561037,0.2996683431461715,0.5115211447366483
gemini_anger_3,0.7255157232284546,1.9525552311979393,2.4296629355862054,2.2515680965056117,1.5327514500495092
google_gemini_angry_voice1,0.24287888407707214,1.173906048452417,-0.04954337868799856,2.08092597166124,0.8056528781556547
google_gemini_angry_voice2,1.2317404747009277,1.4108086328689853,0.5155740440712443,1.9239813905745775,1.3281841935598935
google_gemini_angry_voice3,0.7408570051193237,1.0742209606988076,-0.32018386632487694,0.1277544206894755,0.6433329666752841
hume_angry_voice1,-0.9554880261421204,-0.3071260972839166,-0.632932686201143,-0.601353669234539,-0.6590951670793483
hume_angry_voice2,0.06370425969362259,1.5213780051903958,1.1696777872406767,0.2399203446185567,0.6689517829561572
hume_angry_voice3,2.064121961593628,0.6804963324633237,-0.8569307534469721,-0.49122843551443834,0.920400401388722
hume_angry_voice4,0.44789066910743713,1.0313972362670476,0.3394463614966733,0.06586717892197291,0.5626445772354367
hume_angry_voice5,1.3496270179748535,0.9745055772890023,-0.1774659337006308,0.055769037424329454,0.8698615682104484
hume_angry_voice6,0.08777321130037308,1.9976833800590248,0.7546043474907951,0.2778276391441499,0.7960362849930024
lmnt_angry_voice1,0.12951938807964325,-0.06195475328442933,-1.4238277348127126,-0.2133451294804936,-0.14194537344781036
lmnt_angry_voice2,1.1974692344665527,-0.6342468655326033,-1.1208286243231094,-0.024109630373425152,0.18403767821346012
lmnt_angry_voice3,-0.2765491306781769,0.00025297895657348557,0.17642700399597988,0.10874251762832828,-0.08102817601441448
lmnt_angry_voice4,-0.020677030086517334,-1.0528160492867684,-0.6943967301116871,-0.8842559859222897,-0.5565061185707918
murf_ai_angry_voice1,0.2921106815338135,-0.11471936206525582,-1.6939742830684839,-0.7244718199684201,-0.19933663239673127
murf_ai_angry_voice2,0.6613113284111023,-0.31147270954861694,-2.0901575533165104,-1.033820838825478,-0.1963475962824362
noiz_anger_yilin,-0.629737138748169,0.9113436947577119,-0.01772258181644444,1.7175573339939194,0.3001773064581769
openai_tts_anger_voice1,-0.5073673129081726,0.3825167278773089,-0.4350983470265218,-0.15618519046738416,-0.15918837652556994
openai_tts_anger_voice2,0.15109746158123016,0.2533002162876698,-0.0880831279771222,-0.2067537681632156,0.10262808469013526
openai_tts_anger_voice3,-0.2078532576560974,-1.2178198748369446,1.3343960294506922,-0.8247878645315848,-0.47552717877499595
openai_tts_anger_voice4,-0.5215067267417908,0.2548042490258937,-0.05868125723848149,0.10267843756470324,-0.12693504006466888
rime_anger_0,-0.27358922362327576,-2.042147414651233,0.4164316329630195,-0.10040718662400494,-0.7428166325776627
rime_anger_1,-0.4467298984527588,-0.6614386828869513,-0.09818479068586305,-0.17329916602882187,-0.43683327971904157
rime_anger_2,-0.7959898710250854,-1.4886431698807119,-0.0022146923449755437,-0.9078410637064526,-0.9561576008119865
rime_anger_3,-1.2234346866607666,-1.2817280729418263,0.7028728025355161,-0.21276466360917173,-0.8877505723632922
