Model,arousal,dominance,valence
async_ai_excitement_voice1,0.32120680809020996,0.44819116592407227,0.358245313167572
async_ai_excitement_voice2,0.3372003436088562,0.4763200581073761,0.4229150116443634
async_ai_excitement_voice3,0.48638132214546204,0.5560740232467651,0.32917311787605286
async_ai_excitement_voice4,0.35352545976638794,0.4537496566772461,0.3934895694255829
cartesia_excited_barber,0.47222059965133667,0.5500125288963318,0.34357374906539917
cartesia_excitement_voice1,0.6807858347892761,0.6829574704170227,0.4047006368637085
cartesia_excitement_voice2,0.6067728400230408,0.6285661458969116,0.31907519698143005
cartesia_excitement_voice3,0.5837648510932922,0.6330703496932983,0.3618910312652588
deepgram_excitement_voice1,0.5467150807380676,0.5818066596984863,0.37011346220970154
deepgram_excitement_voice2,0.4616151750087738,0.5091356039047241,0.3384137749671936
deepgram_excitement_voice3,0.4639130234718323,0.5474379658699036,0.35037198662757874
deepgram_excitement_voice4,0.5455363988876343,0.5858486294746399,0.33621087670326233
dupdub_excited,0.8335380554199219,0.827578604221344,0.37188035249710083
dupdub1_excited,0.8074362874031067,0.7843737602233887,0.442678838968277
elevenlabs_excitement_voice1,0.7383724451065063,0.7335977554321289,0.44826945662498474
elevenlabs_excitement_voice2,0.6249825358390808,0.643815279006958,0.43090176582336426
elevenlabs_excitement_voice3,0.7566691040992737,0.7564958333969116,0.30976295471191406
elevenlabs_excitement_voice4,0.8257231712341309,0.7910060882568359,0.3734225630760193
google_gemini_excitement_voice1,0.7635233402252197,0.7301617860794067,0.46329987049102783
google_gemini_excitement_voice2,0.8725501298904419,0.8071034550666809,0.30732429027557373
google_gemini_excitement_voice3,0.663995623588562,0.6575461626052856,0.4332132041454315
google_gemini_excitement_voice4,0.8043233752250671,0.7414732575416565,0.4074347913265228
hume_excitement_voice1,0.5111833810806274,0.570603609085083,0.406347393989563
hume_excitement_voice2,0.7265862226486206,0.7198810577392578,0.3926575183868408
hume_excitement_voice3,0.9332747459411621,0.886165201663971,0.29368677735328674
hume_excitement_voice4,0.8874171376228333,0.8671157956123352,0.3402220606803894
hume_excitement_voice5,0.7881715893745422,0.8027574419975281,0.3882351815700531
hume_excitement_voice6,0.7935225367546082,0.7849719524383545,0.33471301198005676
lmnt_excitement_voice1,0.5876575708389282,0.6446654796600342,0.39225974678993225
lmnt_excitement_voice2,0.4777311682701111,0.5565503835678101,0.4014366567134857
lmnt_excitement_voice3,0.6412438750267029,0.6843923330307007,0.2989574074745178
lmnt_excitement_voice4,0.5135067105293274,0.5822585225105286,0.418074369430542
murf_ai_excitement_voice1,0.5416280031204224,0.6014072299003601,0.4262199401855469
murf_ai_excitement_voice2,0.6197767853736877,0.6760638356208801,0.4556826949119568
noiz_excited_yilin,0.784999668598175,0.7232046723365784,0.4272810220718384
rime_excitement_0,0.2616044282913208,0.3646745979785919,0.3404984176158905
rime_excitement_1,0.5002983808517456,0.5343933701515198,0.3271636366844177
rime_excitement_2,0.47026118636131287,0.5461046695709229,0.370711088180542
rime_excitement_3,0.4178924560546875,0.4988233149051666,0.30097585916519165
