Model,arousal,dominance,valence
async_ai_angry_voice1,0.37712496519088745,0.5234565734863281,0.27611732482910156
async_ai_angry_voice2,0.44827213883399963,0.5789705514907837,0.3694379925727844
async_ai_angry_voice3,0.5004948973655701,0.5977223515510559,0.3216851055622101
async_ai_angry_voice4,0.4564015865325928,0.5563614964485168,0.3545716106891632
cartesia_angry_barber,0.46476465463638306,0.5552417635917664,0.30395805835723877
cartesia_angry_voice1,0.5359887480735779,0.6103181838989258,0.3044396936893463
cartesia_angry_voice2,0.5784562826156616,0.647602915763855,0.27692773938179016
cartesia_angry_voice3,0.5279332399368286,0.6184915900230408,0.27187269926071167
deepgram_angry_voice1,0.5356510877609253,0.6000333428382874,0.3319453001022339
deepgram_angry_voice2,0.48825547099113464,0.5743699073791504,0.34633126854896545
deepgram_angry_voice3,0.658911406993866,0.6931386590003967,0.2837578058242798
deepgram_angry_voice4,0.4450431168079376,0.5445245504379272,0.2645954191684723
dupdub_angry,0.6725914478302002,0.7152231335639954,0.27791696786880493
dupdub1_angry,0.7518666386604309,0.7781098484992981,0.3035602867603302
elevenlabs_angry_voice1,0.7646113634109497,0.7865762114524841,0.1549750119447708
elevenlabs_angry_voice2,0.7834095358848572,0.8025182485580444,0.18720044195652008
elevenlabs_angry_voice3,0.7982902526855469,0.838068425655365,0.11740376055240631
elevenlabs_angry_voice4,0.8572826385498047,0.8506916165351868,0.156869038939476
gemini_anger_3,0.9938539266586304,0.9614934921264648,0.1115206629037857
google_gemini_angry_voice1,0.8513835668563843,0.861678957939148,0.28324466943740845
google_gemini_angry_voice2,0.8947299122810364,0.8969845175743103,0.2441014051437378
google_gemini_angry_voice3,0.8331440687179565,0.8543867468833923,0.3019907772541046
hume_angry_voice1,0.580397367477417,0.6499971747398376,0.32365354895591736
hume_angry_voice2,0.9149609208106995,0.9011704325675964,0.1987944394350052
hume_angry_voice3,0.7611038088798523,0.8164263963699341,0.3391689360141754
hume_angry_voice4,0.8253085613250732,0.8410102725028992,0.25630101561546326
hume_angry_voice5,0.8148990273475647,0.8578901886940002,0.2921053171157837
hume_angry_voice6,1.0021110773086548,0.9796195030212402,0.22754479944705963
lmnt_angry_voice1,0.6252566576004028,0.6953984498977661,0.3784354627132416
lmnt_angry_voice2,0.5205436944961548,0.5959120392799377,0.357448011636734
lmnt_angry_voice3,0.636638879776001,0.6966425180435181,0.2675926685333252
lmnt_angry_voice4,0.4439575970172882,0.5431671142578125,0.3279109001159668
murf_ai_angry_voice1,0.6156022548675537,0.6890487670898438,0.39714735746383667
murf_ai_angry_voice2,0.579602062702179,0.6488462090492249,0.42458927631378174
noiz_anger_yilin,0.8033422231674194,0.8064591884613037,0.28104057908058167
rime_anger_0,0.2629384696483612,0.4078904092311859,0.2509685754776001
rime_anger_1,0.5155683755874634,0.596808671951294,0.2866138517856598
rime_anger_2,0.3642137944698334,0.4839581549167633,0.27996641397476196
rime_anger_3,0.40207329392433167,0.5032316446304321,0.2311280220746994
