Model,acoustic,arousal,valence,hume,COMPOSITE
async_ai_neutral_voice1,-0.321502685546875,-1.6959458075727691,-1.408193498369812,0,-0.8185531272492581
async_ai_neutral_voice2,0.5492332577705383,-2.0385421805837436,-0.733962578348143,0,-0.4950517933184506
async_ai_neutral_voice3,-0.8472793102264404,-0.5996739589822911,-1.3570022956382353,0,-0.6834532091174476
async_ai_neutral_voice4,0.03186352923512459,-0.8983182055643819,-0.5527258274737532,0,-0.32935172688252456
cartesia_neutral_barber,0.5788840651512146,-1.321263780066938,-1.3034470849027553,0,-0.31001782326516103
cartesia_neutral_voice1,0.3955966532230377,0.31912420996593893,-1.6225920281878417,0,0.10601112918724895
cartesia_neutral_voice2,-0.42679595947265625,-0.10663313063605263,-1.5166607136502013,0,-0.3650429666103294
cartesia_neutral_voice3,0.6398811340332031,-0.20027619431750004,-1.8731546657420497,0,0.017346222769768743
deepgram_neutral_voice1,-0.10801447182893753,0.2445059046461848,0.5604959710112627,0,0.0889254116980071
deepgram_neutral_voice2,-0.9764046669006348,-0.7409911001550988,-0.166930923235489,0,-0.6639001842058678
deepgram_neutral_voice3,-0.16036738455295563,0.6148582734733844,0.5818048764908886,0,0.1875808360325163
deepgram_neutral_voice4,0.47043853998184204,-0.30327196768155174,0.9651913510062223,0,0.19705628746652776
dupdub_neutral_default,-0.12566494941711426,1.0912762682375234,1.0663782328138072,0,0.40306695319342084
dupdub1_neutral_default,-0.832773745059967,-0.21733123671380725,-0.489500201643876,0,-0.4682609888379921
elevenlabs_neutral_voice1,0.3969521224498749,1.2605617243653826,-0.05204863231378931,0,0.5648947722458871
elevenlabs_neutral_voice2,-1.0460628271102905,0.4260022921213053,0.23144498438302394,0,-0.2798811411640872
elevenlabs_neutral_voice3,0.1978914439678192,1.0169301581184367,-0.2676716564737099,0,0.38176488545654835
elevenlabs_neutral_voice4,0.15036995708942413,1.4707769422603534,0.8040139033414214,0,0.6142053947290831
google_gemini_neutral_voice1,-0.4171592593193054,-0.10075013550253768,1.168874589643162,0,-0.09055946913827898
google_gemini_neutral_voice2,0.41408881545066833,-0.1069266609851921,-0.7456339021778703,0,0.06513737181553549
google_gemini_neutral_voice3,-0.03431248664855957,-1.0009392373689812,-0.46202247135667945,0,-0.380914046703826
google_gemini_neutral_voice4,0.5380364656448364,-0.20823523704346328,1.0388329042585254,0,0.2632233194139395
hume_neutral_voice1,-0.514777660369873,-0.21284156442163543,0.3650133679826337,0,-0.2478145740194493
hume_neutral_voice2,0.3626982271671295,0.7497528467255135,0.8693910854755046,0,0.4791932641810731
hume_neutral_voice3,1.7397223711013794,-0.34379567339709854,-0.21597829517921255,0,0.5990709413208434
hume_neutral_voice4,0.055837854743003845,0.6365987897663891,-0.5669813365234333,0,0.17046537731990474
hume_neutral_voice5,0.11574685573577881,-1.7242145351829188,-1.5088772559249324,0,-0.6540226981870583
hume_neutral_voice6,-0.047566235065460205,-0.6726308756436099,0.23855825356470275,0,-0.21136387216136787
lmnt_neutral_voice1,-0.14432990550994873,0.7368932580416427,0.9023500696148881,0,0.2654222924988915
lmnt_neutral_voice2,0.2952050566673279,0.4406134276716706,-0.029094191851054357,0,0.26207299521161914
lmnt_neutral_voice3,0.038638338446617126,1.261555529345822,-0.1284655773157726,0,0.40707931380666496
lmnt_neutral_voice4,0.8191598057746887,-0.4054019469559963,-0.6959124789323803,0,0.1447272284327261
murf_ai_neutral_voice1,-0.10975952446460724,0.9349708411478125,1.4125238557513153,0,0.39434405506334297
murf_ai_neutral_voice2,0.5992201566696167,0.7793212978159677,1.34043513128589,0,0.6350987751574514
neuphonic_neutral_voice1,0.6096638441085815,0.9378682919564342,0.36927399025110597,0,0.5931040645925879
neuphonic_neutral_voice2,-1.1091206073760986,-0.09823878205820027,-0.22037218260476762,0,-0.5193042824249694
neuphonic_neutral_voice3,0.46182456612586975,0.6178926821705847,0.5131115164624416,0,0.4430031241374179
neuphonic_neutral_voice4,0.9115499258041382,0.08710206152546195,0.37262493296905674,0,0.44798609798093364
noiz_neutral_yilin,0.10745248198509216,2.3827451107751485,1.4932477761198868,0,0.956933253556624
openai_tts_neutral_voice1,-0.6412075757980347,1.0542501504101986,1.753674932366852,0,0.24342037502998187
openai_tts_neutral_voice2,0.38745784759521484,0.658095672428455,0.06603974789424946,0,0.379926878207917
openai_tts_neutral_voice3,-0.7154544591903687,-1.4145579108362782,-1.838869789858647,0,-0.937036366624128
openai_tts_neutral_voice4,-0.08206233382225037,0.6920116761930336,0.5973447526341924,0,0.24671203069478678
rime_neutral_0,-0.2673631012439728,-2.131824955548252,-0.9641115046300855,0,-0.8908876345885927
rime_neutral_1,-0.27469366788864136,0.4794482155049472,2.195978125966387,0,0.25764990253510855
rime_neutral_2,-0.6064861416816711,-1.6765070785076588,-0.32739376063767206,0,-0.8239458159241483
rime_neutral_3,-1.058255672454834,-0.6740434689416375,0.1409985016846749,0,-0.6460614256345862
